freq,tra_cov,nst07,typpack,unit,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,GT01,TOTAL,THS_T,AT	: 	1227 	1584 	1785 	1642 	1768 	2080 	1829 	1591 	1729 	1667 	1244 	2029 	1847 	1446 	1221 
A,TOTAL,GT01,TOTAL,THS_T,BE	6554 	6383 	5841 	7777 	8321 	9971 	10606 	10247 	9977 	10068 	11244 	6269 b	5907 	5245 	6494 	6023 
A,TOTAL,GT01,TOTAL,THS_T,BG	: 	1360 	4264 	5032 	3428 	5170 	5202 	6756 	7068 	7079 	6248 	5780 	7359 	9356 	8241 	4301 
A,TOTAL,GT01,TOTAL,THS_T,CZ	: 	185 	339 	184 	116 	166 	95 	108 	64 	44 	23 	10 	17 	91 	77 	16 
A,TOTAL,GT01,TOTAL,THS_T,DE	15417 	16076 	15363 	16015 	14922 	16324 	17202 	16901 	16243 	15359 	14856 	12914 	13359 	14796 	14410 	13361 
A,TOTAL,GT01,TOTAL,THS_T,EU15	: 	25420 	25306 	28337 	28586 	29404 	31822 	33057 	32043 	30587 	29337 	26767 	28738 	: 	: 	: 
A,TOTAL,GT01,TOTAL,THS_T,EU25	: 	26567 	26838 	29954 	29141 	30719 	32689 	34115 	34220 	32038 	30712 	27382 	29388 	: 	: 	: 
A,TOTAL,GT01,TOTAL,THS_T,EU27_2007	: 	28793 	29959 	33980 	32912 	35018 	38467 	41807 	40753 	39721 	37748 	34870 	38478 	: 	: 	: 
A,TOTAL,GT01,TOTAL,THS_T,EU27_2020	: 	28672 	29895 	33918 	32876 	34994 	38445 	41767 	40714 	39723 	37744 	34509 	38463 	39529 	38617 	37617 
A,TOTAL,GT01,TOTAL,THS_T,EU28	: 	28791 	29963 	33978 	32902 	35017 	38467 	41811 	40757 	39725 	37748 	34870 	38474 	: 	: 	: 
A,TOTAL,GT01,TOTAL,THS_T,FI	472 	335 	253 	303 	340 	471 	476 	509 	503 	412 	: 	: 	527 	512 	579 	721 
A,TOTAL,GT01,TOTAL,THS_T,FR	10677 	11876 	12313 	13256 	12042 	12126 	12703 	13184 	13662 	11684 	10875 	12316 	13583 	12167 	10849 	11867 
A,TOTAL,GT01,TOTAL,THS_T,HR	: 	1188 	1674 	1834 	783 	1421 	1153 	1311 	2360 	1610 	1608 	822 	1123 	2334 	1674 	740 
A,TOTAL,GT01,TOTAL,THS_T,HU	2293 	2050 	2961 	3171 	1836 	2749 	2292 	2410 	3084 	2474 	2587 	1558 	2376 	3381 	2374 	1367 
A,TOTAL,GT01,TOTAL,THS_T,IT	336 	198 	269 	269 	310 	107 	291 	105 	20 	25 	22 	20 	21 	56 	67 	66 
