freq,direct,unit,rep_mar\TIME_PERIOD	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,THS_T,BE	161621 	171026 	165557 	179381 	174181 	173824 	181110 	187889 	206539 	218941 	236320 	243819 	203368 	228228 	232789 	223987 	228130 	237852 	241459 	253543 	257865 	270317 	277783 	268675 	288827 	288229 
A,TOTAL,THS_T,BG	: 	: 	: 	: 	20192 	20390 	21358 	23125 	24841 	27513 	24900 	26576 	21893 	22946 	25185 	26012 	28841 	27235 	27166 	28685 	30953 	27868 	30997 	25258 	25576 	30731 
A,TOTAL,THS_T,CY	: 	: 	: 	: 	: 	7220 	7258 	6837 	7305 	7676 	7516 	7962 	6808 	6954 	6564 	6236 	7172 	7186 	10268 	10259 	7860 	6948 	7428 	7473 	6985 	8235 
A,TOTAL,THS_T,DE	213318 	217388 	221623 	242535 	246050 	246353 	254834 	271869 	284865 	302789 	315051 	320636 	262863 	275953 	296037 	298758 	297281 	303742 	295918 	297137 	299189 	296181 	294533 	275731 	289130 	279177 
A,TOTAL,THS_T,DK	124010 	104966 	97213 	96533 	93972 	94283 	103954 	100373 	99688 	107674 	109660 	106096 	90636 	87068 	92613 	87827 	88406 	92244 	95098 	95829 	94638 	95989 	93727 	91382 	94255 	98220 
A,TOTAL,THS_T,EE	: 	: 	: 	: 	40383 	44682 	47048 	44808 	46546 	49998 	44964 	36191 	38505 	46026 	48479 	43519 	42908 	43578 	34965 	33596 	34801 	35947 	37760 	37741 	39436 	33335 
A,TOTAL,THS_T,EEA31	: 	: 	: 	: 	: 	3545998 	3661585 	3797824 	3950106 	4063155 	4170254 	4145666 	3655623 	3872128 	3991135 	3955012 	3933120 	3997867 	4041205 	4068341 	4176211 	4290544 	4292220 	: 	: 	: 
A,TOTAL,THS_T,EL	101311 	110546 	112549 	127750 	122171 	147692 	162534 	157892 	151250 	159425 	164300 	152498 	135430 	129059 	135314 	153317 	160986 	168501 	167036 	175100 	181261 	190523 	194468 	178339 	178205 	170695 
A,TOTAL,THS_T,ES	270634 	280254 	295715 	272957 	314219 	325498 	342681 	373726 	399682 	414378 	426648 	416104 	363536 	377095 	403834 	419865 	397462 	427672 	447023 	451255 	483679 	497812 	496912 	455511 	477021 	489714 
A,TOTAL,THS_T,EU15	2887233 	2951780 	2930539 	3012086 	3036744 	3090520 	3187795 	3305225 	3433446 	3545911 	3647343 	3628732 	3183875 	3358165 	3458096 	3415590 	3385894 	3446869 	3500496 	3518283 	3604252 	3691794 	3691022 	: 	: 	: 
A,TOTAL,THS_T,EU25	: 	: 	: 	: 	: 	3279521 	3392220 	3505351 	3644039 	3759873 	3861674 	3839454 	3385424 	3585598 	3700096 	3658160 	3627447 	3700790 	3749834 	3767221 	3859957 	3969295 	3968673 	: 	: 	: 
A,TOTAL,THS_T,EU27_2007	: 	: 	: 	: 	: 	3332609 	3449503 	3569071 	3716573 	3834095 	3935502 	3916488 	3443410 	3646665 	3764199 	3723692 	3699865 	3771778 	3821533 	3842201 	3937093 	4046270 	4052771 	: 	: 	: 
A,TOTAL,THS_T,EU27_2020	: 	: 	: 	: 	: 	2792868 	2914161 	3021247 	3157855 	3276681 	3384095 	3383544 	2965925 	3159120 	3266566 	3241805 	3215906 	3287210 	3343755 	3376704 	3476076 	3584537 	3587258 	3325646 	3453715 	3480872 
A,TOTAL,THS_T,EU28	: 	: 	: 	: 	: 	3351193 	3469823 	3594317 	3742774 	3860420 	3965599 	3945711 	3466788 	3670995 	3786060 	3742665 	3719231 	3790381 	3840463 	3860752 	3957890 	4067843 	4073351 	: 	: 	: 
