unit,nst07,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
MIO_TKM,GT01,AT	1580 	1431 	1448 	1702 	1782 	1755 	1671 	1364 	1664 	1649 	1786 	2017 	2039 	1890 	: c
MIO_TKM,GT01,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	114 	124 	101 	159 
MIO_TKM,GT01,BG	29 	40 	35 	54 	29 	52 	22 	27 	62 	130 	63 	130 	48 	94 	145 
MIO_TKM,GT01,CH	155 	128 	137 	181 	183 	201 	275 	263 	312 	300 	304 	369 	374 	372 	420 
MIO_TKM,GT01,CZ	1626 	1482 	1625 	1342 	1657 	1531 	1400 	1162 	1151 	1166 	1080 	875 	843 	772 	632 
MIO_TKM,GT01,DE	3914 	4005 	2680 	2083 	1176 	1320 	1314 	1625 	1486 	1486 	1661 	2189 	3168 	3667 	4221 
MIO_TKM,GT01,DK	8 	13 	12 	14 	12 	16 	20 	20 	16 	18 	31 	32 	17 	9 	47 
MIO_TKM,GT01,EE	37 	20 	17 	23 	38 	21 	25 	24 	43 	46 	40 	44 	42 	24 	122 
MIO_TKM,GT01,EL	0 	0 	1 	2 	7 	14 	11 	12 	62 	6 	21 	13 	43 	42 	25 
MIO_TKM,GT01,ES	588 	478 	472 	544 	516 	699 	838 	796 	703 	663 	676 	722 	639 	545 	219 
MIO_TKM,GT01,EU27_2007	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT01,EU27_2020	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT01,EU28	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT01,FI	3687 	3359 	3055 	3115 	3122 	2843 	2704 	2504 	2570 	2584 	2559 	2519 	2845 	2508 	2908 
MIO_TKM,GT01,FR	2233 	2270 	2867 	2083 	2022 	2422 	2512 	3556 	3208 	3787 	3525 	4512 	3353 	4048 	3805 
MIO_TKM,GT01,HR	813 	779 	798 	615 	424 	396 	286 	209 	279 	292 	330 	322 	486 	505 	388 
MIO_TKM,GT01,HU	1515 	1823 	1849 	1434 	1571 	2617 	1327 	1231 	1232 	1211 	595 	648 	516 	472 	297 
MIO_TKM,GT01,IE	17 	17 	13 	16 	15 	17 	16 	21 	17 	17 	14 	23 	18 	7 	13 
MIO_TKM,GT01,IT	1571 	1397 	1144 	1260 	1579 	1036 	866 	703 	1068 	555 	376 	490 	499 	511 	: c
MIO_TKM,GT01,LT	845 	854 	1114 	1029 	876 	856 	746 	852 	962 	813 	799 	459 	431 	549 	777 
MIO_TKM,GT01,LU	0 	0 	0 	0 	0 	0 	0 	: 	: 	0 	0 	: 	: 	: 	: 
MIO_TKM,GT01,LV	1038 	858 	822 	860 	1341 	818 	844 	886 	774 	473 	1077 	600 	473 	500 	549 
MIO_TKM,GT01,ME	: 	: 	1 	3 	3 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,GT01,MK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	25 	: 
MIO_TKM,GT01,NL	96 	108 	63 	8 	8 	13 	35 	58 	35 	31 	17 	: c	: c	98 	9 
MIO_TKM,GT01,NO	382 	454 	362 	445 	156 	41 	31 	31 	8 	86 	143 	279 	76 	115 	192 
MIO_TKM,GT01,PL	1837 	890 	1069 	885 	1168 	1404 	1315 	1397 	1572 	1634 	1681 	1756 	1566 	1115 	1192 
MIO_TKM,GT01,PT	223 	222 	271 	235 	241 	287 	298 	276 	315 	332 	321 	310 	92 	108 	257 
MIO_TKM,GT01,RO	2585 	2760 	2185 	2321 	1797 	1839 	1289 	1188 	1104 	984 	488 	415 	255 	71 	179 
MIO_TKM,GT01,SE	: c	2971 	3152 	2677 	2463 	2307 	2286 	2186 	2109 	2518 	2177 	1985 	2104 	1981 	2028 
MIO_TKM,GT01,SI	262 	194 	268 	250 	186 	296 	311 	360 	363 	253 	222 	296 	316 	246 	204 
MIO_TKM,GT01,SK	560 	463 	482 	545 	513 	516 	518 	553 	602 	475 	381 	455 	459 	418 	312 
MIO_TKM,GT01,TR	65 	89 	90 	89 	55 	13 	4 	20 	46 	18 	41 	55 	21 	40 	80 
MIO_TKM,GT01,UK	: 	: 	: 	248 	236 	273 	313 	480 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT02,AT	691 	644 	675 	908 	867 	932 	908 	938 	915 	868 	712 	733 	681 	740 	: c
