unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
MIO_TKM,AT	22167 	21980 	20498 	21736 	21996 	22256 	21361 	20814 	20746 	19356 	19499 	20345 	19833 	17767 	21915 	21371 	20980 	18957 	18757 	16866 
MIO_TKM,BA	1250 	1181 	1030 	1275 	1179 	1116 	1142 	1285 	1313 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	7593 	7476 	6374 	8927 	9258 	: c	: c	: c	7293 
MIO_TKM,BG	5239 	4657 	4503 	3902 	3824 	3931 	3434 	3650 	3439 	3246 	2907 	3291 	3064 	3145 	4693 	5241 	5396 	: 	: 	: 
MIO_TKM,CH	12135 	12023 	11067 	11673 	11776 	11665 	12447 	12431 	12313 	11812 	11061 	11526 	11074 	10565 	12265 	: 	: 	: 	: 	: 
MIO_TKM,CZ	16368 	16326 	15251 	16180 	16564 	15843 	15619 	15261 	14575 	13965 	14267 	14316 	13770 	12791 	15437 	16304 	15779 	14866 	15092 	15862 
MIO_TKM,DE	128637 	123935 	109219 	119470 	117931 	117382 	126686 	116632 	112629 	112613 	110065 	113317 	107317 	95834 	115652 	114615 	107007 	95420 	86409 	78464 
MIO_TKM,DK	2211 	1986 	2450 	2525 	2594 	2653 	2616 	2603 	2453 	2449 	2278 	2614 	2239 	1700 	1866 	1779 	1892 	1976 	2321 	1985 
MIO_TKM,EE	1286 	2124 	1729 	2155 	2588 	2325 	2340 	3117 	3256 	4722 	5129 	6271 	6638 	5947 	5943 	8430 	10418 	10639 	10488 	9670 
MIO_TKM,EL	: c	: c	: c	: c	: c	358 	254 	294 	311 	237 	283 	352 	614 	552 	786 	835 	662 	613 	592 	456 
MIO_TKM,ES	10566 	10299 	8920 	10710 	10650 	10549 	10550 	11028 	10385 	9338 	9458 	9451 	8913 	7806 	10959 	11237 	11541 	11585 	12436 	11743 
MIO_TKM,EU27_2007	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	419659 	390911 	360900 	439440 	448414 	: c	: 	: 	: 
MIO_TKM,EU27_2020	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	401124 	374952 	344369 	421675 	430724 	: c	: 	: 	: 
MIO_TKM,EU28	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	422098 	393529 	363541 	442752 	451989 	: c	: 	: 	: 
MIO_TKM,FI	8844 	10750 	10137 	10271 	11175 	10362 	9456 	8468 	9597 	9470 	9275 	9395 	9750 	8872 	10777 	10434 	11060 	9706 	10105 	10047 
MIO_TKM,FR	35282 	35751 	31559 	33671 	34061 	35655 	34761 	36328 	32596 	32230 	32539 	34202 	29965 	32129 	40436 	42612 	41179 	40701 	45121 	46835 
MIO_TKM,HR	3529 	3172 	3279 	2911 	2743 	2592 	2160 	2184 	2119 	2086 	2332 	2438 	2618 	2641 	3312 	3574 	3305 	2835 	2493 	: 
MIO_TKM,HU	11351 	11347 	11595 	10625 	10584 	13356 	10528 	10010 	10158 	9722 	9230 	9118 	8809 	7673 	9874 	10048 	10167 	9090 	8749 	7614 
MIO_TKM,IE	81 	70 	74 	72 	89 	100 	101 	96 	100 	99 	91 	105 	92 	79 	103 	129 	205 	303 	399 	: c
MIO_TKM,IT	24330 	24262 	20750 	21309 	22070 	22335 	22712 	20781 	20157 	19037 	20244 	19787 	18616 	17791 	23831 	25285 	24151 	22761 	22183 	20299 
MIO_TKM,LI	11 	: c	: c	: c	: c	: c	: c	: c	: c	9 	10 	10 	11 	10 	17 	18 	18 	17 	21 	: 
MIO_TKM,LT	7375 	14566 	15865 	16181 	16885 	15414 	13790 	14036 	14307 	13344 	14172 	15088 	13431 	11888 	14748 	14373 	12896 	12457 	11637 	11457 
MIO_TKM,LU	167 	176 	162 	191 	223 	213 	201 	207 	208 	218 	231 	288 	323 	200 	279 	574 	441 	392 	559 	525 
MIO_TKM,LV	7410 	7367 	7979 	15019 	17859 	15014 	15873 	18906 	19441 	19532 	21867 	21410 	17179 	18725 	19581 	18313 	16831 	19779 	18618 	17955 
MIO_TKM,ME	: 	: 	130 	130 	113 	169 	112 	112 	94 	105 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,MK	286 	381 	342 	350 	307 	277 	222 	278 	411 	421 	423 	479 	525 	497 	: 	: 	: 	: 	: 	: 
MIO_TKM,NL	7176 	7188 	6665 	7080 	7023 	6467 	6641 	6545 	6169 	6078 	6142 	6378 	5925 	5578 	6984 	7216 	6289 	5865 	5831 	4705 
