freq,unit,nst07,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,THS_T,GT01,AT	: c	8904 	9488 	9405 	8710 	8594 	8430 	6976 	8017 	8269 	8077 	7210 	6598 	7282 	7713 
A,THS_T,GT01,BE	1281 	817 	1039 	937 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,THS_T,GT01,BG	561 	359 	213 	513 	290 	456 	249 	134 	131 	203 	152 	224 	189 	192 	128 
A,THS_T,GT01,CH	2907 	2600 	2487 	2836 	2403 	2269 	2453 	1964 	1959 	1511 	1138 	1088 	970 	868 	1005 
A,THS_T,GT01,CZ	2955 	3331 	3582 	3871 	4249 	4753 	4457 	4350 	5245 	5654 	6268 	5626 	6702 	5976 	6147 
A,THS_T,GT01,DE	9658 	8427 	7649 	5519 	4112 	3831 	3764 	4092 	3482 	3531 	3297 	5889 	7577 	10403 	10620 
A,THS_T,GT01,DK	173 	40 	68 	133 	129 	70 	48 	68 	68 	50 	36 	42 	36 	38 	26 
A,THS_T,GT01,EE	646 	127 	163 	174 	170 	201 	168 	106 	118 	103 	165 	113 	76 	87 	215 
A,THS_T,GT01,EL	192 	322 	320 	82 	147 	41 	225 	76 	62 	100 	47 	15 	9 	3 	0 
A,THS_T,GT01,ES	895 	1308 	1477 	1566 	1729 	1812 	1902 	2001 	2109 	1916 	1594 	1609 	1752 	1607 	1996 
A,THS_T,GT01,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
A,THS_T,GT01,FI	14509 	10430 	11737 	10741 	10854 	11814 	11975 	11120 	12022 	12192 	12706 	12291 	12064 	13092 	12052 
A,THS_T,GT01,FR	10452 	10756 	9025 	13086 	10619 	11121 	9640 	8600 	7762 	7410 	6736 	7105 	8650 	7693 	7960 
A,THS_T,GT01,HR	1606 	1772 	1923 	1574 	1338 	1236 	1081 	947 	1005 	2062 	2091 	3147 	3633 	3670 	3749 
A,THS_T,GT01,HU	1648 	2866 	3083 	3849 	3411 	5594 	5643 	5016 	4893 	6018 	5737 	5578 	6694 	6098 	6049 
A,THS_T,GT01,IE	90 	53 	55 	69 	39 	49 	59 	63 	58 	52 	45 	49 	37 	49 	50 
A,THS_T,GT01,IT	: c	2024 	2341 	1992 	1302 	2190 	2871 	2574 	2998 	3607 	5045 	4715 	4687 	6134 	7609 
A,THS_T,GT01,LT	3338 	2480 	1972 	2017 	3217 	3269 	3875 	3528 	3085 	3515 	3717 	4081 	4523 	3671 	3698 
A,THS_T,GT01,LU	: 	: 	: 	: 	0 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT01,LV	1786 	1751 	1552 	1612 	2882 	1374 	2091 	2462 	2235 	2227 	3579 	2543 	2696 	2854 	2821 
A,THS_T,GT01,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	17 	22 	22 	13 	: 	: 
A,THS_T,GT01,MK	: 	115 	2 	2 	1 	2 	2 	2 	2 	1 	1 	1 	1 	0 	0 
A,THS_T,GT01,NL	272 	864 	: c	: c	294 	209 	270 	351 	236 	111 	52 	54 	268 	497 	612 
A,THS_T,GT01,NO	915 	413 	308 	1443 	1271 	406 	66 	214 	209 	583 	1078 	2869 	2416 	3132 	2348 
A,THS_T,GT01,PL	4050 	3475 	4469 	4714 	4470 	4144 	4279 	3874 	3666 	3975 	3652 	2849 	2859 	2802 	6505 
A,THS_T,GT01,PT	1133 	339 	340 	966 	957 	1031 	983 	1093 	1070 	1067 	899 	963 	956 	1027 	781 
A,THS_T,GT01,RO	752 	492 	906 	1432 	1695 	2657 	3255 	3255 	2798 	4318 	5581 	6974 	6270 	8748 	8576 
