tra_type,nst07,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
HIRE,GT01,MIO_TKM,AT	1771 	1738 	1921 	1506 	1666 	1930 	1975 	1903 	1954 	1764 	2065 	2118 	1782 	1795 	1913 
HIRE,GT01,MIO_TKM,BE	3932 	3109 	2535 	2582 	2377 	2238 	2494 	3090 	2163 	2210 	2198 	1878 	2017 	2152 	1966 
HIRE,GT01,MIO_TKM,BG	2519 	1748 	2531 	1603 	2185 	2434 	2812 	2830 	2657 	3016 	2925 	1500 	1699 	1552 	711 
HIRE,GT01,MIO_TKM,CH	931 	1101 	981 	1044 	835 	928 	1101 	1070 	790 	1118 	782 	746 	1021 	792 	1031 
HIRE,GT01,MIO_TKM,CY	34 	21 	28 	34 	26 	36 	29 	31 	27 	33 	41 	42 	47 	54 	33 
HIRE,GT01,MIO_TKM,CZ	4840 	4291 	4193 	2826 	2646 	2878 	3967 	4668 	4312 	4105 	4617 	4170 	4068 	3869 	3306 
HIRE,GT01,MIO_TKM,DE	15199 	14980 	15139 	15027 	15012 	15714 	15039 	15942 	15501 	14342 	14453 	15239 	15902 	14996 	15478 
HIRE,GT01,MIO_TKM,DK	2299 	2289 	2384 	2223 	2014 	1879 	1997 	2011 	1740 	1858 	2014 	2271 	1850 	1697 	2106 
HIRE,GT01,MIO_TKM,EE	461 	414 	365 	513 	711 	705 	476 	435 	514 	510 	533 	478 	514 	503 	658 
HIRE,GT01,MIO_TKM,EL	2633 	2451 	3840 	3964 	4566 	4445 	2784 	2758 	2773 	2131 	2576 	2117 	2350 	1526 	1694 
HIRE,GT01,MIO_TKM,ES	45316 	44038 	44010 	42218 	41807 	41221 	37713 	38083 	35092 	34145 	33872 	32395 	29720 	32680 	36163 
HIRE,GT01,MIO_TKM,EU27_2020	176015 	174026 	172238 	168056 	163918 	164105 	156154 	153980 	146265 	145114 	140962 	141801 	141265 	136227 	136493 
HIRE,GT01,MIO_TKM,FI	6529 	6238 	6065 	6451 	5282 	6340 	6114 	4808 	4968 	4696 	5473 	4572 	5541 	4435 	4735 
HIRE,GT01,MIO_TKM,FR	23861 	23697 	24638 	25444 	23216 	20038 	18459 	18411 	19030 	18412 	19457 	21934 	22753 	19957 	20964 
HIRE,GT01,MIO_TKM,HR	856 	1207 	1205 	1088 	806 	782 	897 	734 	626 	581 	571 	525 	538 	613 	462 
HIRE,GT01,MIO_TKM,HU	2837 	3172 	2750 	3055 	3083 	3543 	3448 	3181 	3080 	3074 	2921 	2955 	3144 	2846 	2858 
HIRE,GT01,MIO_TKM,IE	887 	910 	815 	885 	718 	932 	869 	817 	775 	756 	835 	868 	753 	685 	662 
HIRE,GT01,MIO_TKM,IT	10571 	10819 	10251 	10784 	9780 	9662 	9627 	9104 	8300 	10577 	8146 	11865 	11349 	11544 	10272 
HIRE,GT01,MIO_TKM,LT	5085 	3317 	4007 	3913 	3191 	4158 	3030 	3907 	3506 	3544 	2656 	2243 	1869 	2205 	1913 
HIRE,GT01,MIO_TKM,LU	340 	264 	257 	240 	188 	191 	176 	159 	149 	320 	205 	375 	296 	180 	189 
HIRE,GT01,MIO_TKM,LV	1872 	2188 	2016 	1646 	2046 	2029 	2168 	2602 	1886 	1963 	1532 	1580 	1745 	1023 	1415 
HIRE,GT01,MIO_TKM,ME	: 	5 	5 	7 	7 	5 	10 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT01,MIO_TKM,MK	: 	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT01,MIO_TKM,NL	6721 	7927 	7417 	7289 	7219 	7508 	7304 	7339 	7840 	8223 	7773 	8035 	8066 	8291 	7476 
HIRE,GT01,MIO_TKM,NO	3072 	2625 	2517 	2906 	2387 	2729 	3082 	2570 	2450 	2654 	2124 	1727 	2441 	2670 	2089 
HIRE,GT01,MIO_TKM,PL	21251 	23178 	20183 	18638 	19255 	21025 	20235 	17715 	15242 	15384 	13892 	11535 	12161 	11572 	8371 
