freq,tra_type,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,TOTAL,THS_T,AT	369460 	336698 	331042 	344747 	333971 	325483 	349544 	351068 	376399 	386858 	393312 	402079 	373068 	403510 	390424 
A,TOTAL,TOTAL,THS_T,BE	317637 	297879 	296189 	289203 	291380 	300608 	299476 	295057 	291522 	300121 	285526 	283979 	273251 	277828 	273307 
A,TOTAL,TOTAL,THS_T,BG	176345 	147838 	130989 	136840 	141622 	162357 	155089 	163742 	150410 	155345 	145987 	116231 	139119 	162460 	163160 
A,TOTAL,TOTAL,THS_T,CH	290349 	284293 	282128 	303142 	300596 	295769 	303323 	289384 	284813 	291532 	293075 	301273 	316484 	288042 	307770 
A,TOTAL,TOTAL,THS_T,CY	41619 	28523 	32247 	26050 	22964 	16122 	14585 	14402 	19682 	25595 	29308 	29361 	26041 	27670 	38550 
A,TOTAL,TOTAL,THS_T,CZ	431855 	370115 	355911 	349278 	339314 	351517 	386243 	439472 	433928 	461053 	480863 	505124 	460918 	501379 	474823 
A,TOTAL,TOTAL,THS_T,DE	3078346 	2769201 	2734605 	2986736 	2891837 	2938701 	3052628 	3035342 	3111875 	3161849 	3200936 	3208244 	3119657 	3107994 	3060982 
A,TOTAL,TOTAL,THS_T,DK	193560 	149377 	165708 	178006 	176354 	173917 	178146 	181232 	184726 	179062 	167534 	167747 	178098 	171555 	174842 
A,TOTAL,TOTAL,THS_T,EE	42312 	30088 	27315 	32913 	31321 	31080 	27358 	28162 	34581 	28969 	28494 	28373 	23281 	28894 	27156 
A,TOTAL,TOTAL,THS_T,EL	628565 	644545 	577447 	506003 	400137 	436249 	403336 	420028 	419233 	388915 	361961 	354091 	289254 	271004 	290032 
A,TOTAL,TOTAL,THS_T,ES	2120494 	1711314 	1566705 	1466502 	1239140 	1124833 	1184866 	1258749 	1285612 	1409713 	1475205 	1542517 	1468180 	1626818 	1588191 
A,TOTAL,TOTAL,THS_T,EU27_2020	15396187 	13771110 	13540788 	13526294 	12510664 	12437176 	12657417 	12673347 	12825666 	13270763 	13262542 	13556760 	13032346 	13687883 	13623967 
A,TOTAL,TOTAL,THS_T,FI	423614 	350588 	397813 	317740 	299397 	274637 	280131 	271912 	278957 	280744 	274346 	270462 	261920 	259023 	243739 
A,TOTAL,TOTAL,THS_T,FR	2203239 	1939465 	2015538 	2090664 	2008418 	1999913 	1918601 	1796777 	1727615 	1714295 	1619369 	1634951 	1508025 	1648961 	1631147 
A,TOTAL,TOTAL,THS_T,HR	112052 	93756 	76033 	75767 	66552 	68787 	67327 	67430 	73572 	73437 	74901 	82272 	82088 	86462 	87821 
A,TOTAL,TOTAL,THS_T,HU	268352 	238633 	208921 	190154 	171074 	175386 	200461 	206671 	212685 	205532 	227580 	223800 	206934 	242174 	226448 
A,TOTAL,TOTAL,THS_T,IE	253115 	142126 	123116 	109661 	106465 	107222 	112825 	117090 	140743 	146543 	148765 	158396 	139987 	153466 	163000 
A,TOTAL,TOTAL,THS_T,IT	1520415 	1468954 	1527763 	1339672 	1121313 	1023872 	963056 	957006 	901503 	885451 	920732 	978883 	933601 	987085 	1047318 
A,TOTAL,TOTAL,THS_T,LT	59427 	44697 	44716 	46019 	48428 	52346 	57591 	58601 	63571 	76980 	89105 	100802 	107042 	113135 	100752 
A,TOTAL,TOTAL,THS_T,LU	58529 	52649 	60725 	60687 	54482 	51480 	58723 	45715 	50824 	47292 	48846 	55303 	44931 	48225 	50339 
A,TOTAL,TOTAL,THS_T,LV	57540 	41350 	50745 	58330 	55873 	63825 	67420 	67552 	69077 	71701 	81143 	77248 	79247 	86386 	86379 
A,TOTAL,TOTAL,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	839 	836 	808 	885 	800 	793 	: 
A,TOTAL,TOTAL,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4991 	: 	: 
A,TOTAL,TOTAL,THS_T,NL	621287 	616903 	657874 	658032 	631898 	642236 	640018 	641875 	656562 	666166 	680186 	688995 	684492 	702161 	695112 
A,TOTAL,TOTAL,THS_T,NO	288645 	257629 	266814 	256418 	251512 	271349 	293231 	283172 	268120 	255470 	254346 	244312 	243236 	266275 	266855 
A,TOTAL,TOTAL,THS_T,PL	1093406 	1170478 	1216083 	1322237 	1245053 	1300608 	1300382 	1264960 	1313657 	1501811 	1390184 	1506450 	1500104 	1580517 	1599513 
A,TOTAL,TOTAL,THS_T,PT	294411 	258976 	222147 	217190 	154485 	148177 	149828 	150358 	147788 	157803 	156651 	155866 	131115 	147066 	143483 
A,TOTAL,TOTAL,THS_T,RO	365136 	293831 	174206 	184164 	188960 	191879 	191308 	199220 	216621 	226796 	237496 	257004 	266976 	307357 	324895 
A,TOTAL,TOTAL,THS_T,SE	374803 	334348 	322689 	331393 	295209 	281568 	381724 	423191 	433312 	455772 	481576 	449624 	475494 	493018 	477911 
A,TOTAL,TOTAL,THS_T,SI	91239 	75284 	81020 	75615 	62748 	65340 	74142 	70508 	75033 	86211 	85406 	91775 	90869 	98910 	103842 
A,TOTAL,TOTAL,THS_T,SK	199429 	163491 	143244 	132690 	132270 	129032 	142608 	147225 	156179 	176750 	177131 	187184 	168653 	154828 	160802 
A,TOTAL,TOTAL,THS_T,UK	1776203 	1460797 	1521135 	1486133 	1464456 	1348987 	1348887 	1468144 	1450280 	1417482 	1425190 	1470486 	: 	: 	: 
