freq,tra_type,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,GT01,THS_T,AT	19262 	18876 	19809 	20077 	20761 	19219 	20933 	21474 	23184 	24164 	23078 	22421 	33079 	32365 	30756 
A,TOTAL,GT01,THS_T,BE	16522 	17566 	16484 	16779 	19708 	17482 	19726 	28748 	20490 	21877 	20392 	20261 	22994 	25100 	28507 
A,TOTAL,GT01,THS_T,BG	10026 	10615 	13451 	14040 	15589 	19777 	18205 	18097 	16437 	22377 	18587 	19587 	17818 	18413 	15281 
A,TOTAL,GT01,THS_T,CH	18875 	16006 	18446 	15798 	17267 	21319 	19265 	21041 	22577 	19294 	19272 	21499 	18367 	19632 	23022 
A,TOTAL,GT01,THS_T,CY	1695 	2031 	1738 	1468 	2412 	1540 	1110 	1577 	1715 	2301 	2458 	2007 	1579 	1900 	2866 
A,TOTAL,GT01,THS_T,CZ	45881 	42480 	42041 	43675 	45333 	48865 	49228 	50745 	49422 	48862 	47524 	52594 	52662 	58328 	57658 
A,TOTAL,GT01,THS_T,DE	150258 	145319 	155899 	162235 	161439 	151738 	175569 	172533 	163668 	169828 	168342 	168399 	169289 	171578 	176758 
A,TOTAL,GT01,THS_T,DK	23863 	20202 	24701 	30880 	28551 	23560 	24705 	27551 	26064 	27843 	29575 	30395 	32924 	29497 	36840 
A,TOTAL,GT01,THS_T,EE	3524 	3498 	4326 	4319 	4372 	4220 	4448 	3567 	4026 	4954 	4702 	5244 	2394 	3828 	3930 
A,TOTAL,GT01,THS_T,EL	15835 	17427 	22145 	17003 	19341 	18473 	23654 	21319 	23930 	23989 	23311 	22416 	22783 	22817 	21705 
A,TOTAL,GT01,THS_T,ES	128821 	124632 	113713 	124321 	126923 	135577 	137173 	150522 	148490 	165189 	161149 	168875 	167227 	167584 	173049 
A,TOTAL,GT01,THS_T,EU27_2020	1034395 	1066490 	1104990 	1120326 	1109904 	1125772 	1174367 	1190425 	1183968 	1219240 	1201720 	1211039 	1235215 	1271488 	1277009 
A,TOTAL,GT01,THS_T,FI	46607 	46787 	54423 	44558 	50668 	43504 	49304 	48117 	59122 	52872 	50852 	56501 	47305 	52755 	53558 
A,TOTAL,GT01,THS_T,FR	224658 	226707 	250234 	257800 	249052 	263913 	261252 	243627 	234062 	234003 	223568 	219841 	223131 	223912 	225872 
A,TOTAL,GT01,THS_T,HR	3927 	4115 	3957 	3705 	3320 	4041 	4780 	4166 	4917 	5203 	4126 	4954 	5534 	5464 	6260 
A,TOTAL,GT01,THS_T,HU	28296 	25467 	28044 	25539 	23766 	24610 	26219 	27047 	25482 	26550 	24174 	24678 	22677 	25233 	21266 
A,TOTAL,GT01,THS_T,IE	8377 	8659 	11372 	13138 	13559 	11691 	11854 	13295 	14128 	13792 	11340 	14198 	12513 	13478 	14947 
A,TOTAL,GT01,THS_T,IT	55656 	68967 	78097 	82679 	65350 	71491 	52841 	62059 	55979 	56244 	59351 	62269 	59183 	62585 	62180 
A,TOTAL,GT01,THS_T,LT	7207 	7722 	7510 	7582 	8700 	8867 	9558 	10384 	9041 	10410 	11235 	11989 	11577 	12511 	13434 
A,TOTAL,GT01,THS_T,LU	1080 	996 	1869 	1971 	1555 	2086 	1110 	1242 	1305 	1161 	1138 	2077 	2417 	1548 	1922 
A,TOTAL,GT01,THS_T,LV	7856 	8789 	11641 	10831 	10311 	11254 	12696 	12057 	14786 	13029 	17069 	13076 	14545 	17528 	17043 
A,TOTAL,GT01,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	61 	37 	51 	44 	26 	24 	: 
A,TOTAL,GT01,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	210 	: 	: 
A,TOTAL,GT01,THS_T,NL	53262 	61042 	60681 	60575 	60537 	59765 	62045 	57714 	61416 	57400 	60918 	61832 	66636 	69045 	59789 
A,TOTAL,GT01,THS_T,NO	20362 	16517 	14612 	18373 	15552 	17484 	19189 	21519 	25534 	21647 	30005 	22426 	24513 	26118 	30376 
A,TOTAL,GT01,THS_T,PL	59320 	86017 	77037 	75276 	83205 	84186 	92517 	92496 	100647 	116572 	104322 	93237 	106500 	117787 	118496 
A,TOTAL,GT01,THS_T,PT	23915 	20256 	18649 	17780 	13964 	18057 	17054 	16879 	17877 	16283 	18896 	18162 	13062 	16092 	17859 
A,TOTAL,GT01,THS_T,RO	10311 	17050 	7416 	8445 	7354 	12047 	11748 	14561 	14779 	18589 	17720 	18618 	18412 	23818 	21733 
A,TOTAL,GT01,THS_T,SE	63694 	59112 	54732 	51908 	49069 	47382 	60286 	62445 	63828 	59561 	67356 	54037 	72813 	66574 	60711 
A,TOTAL,GT01,THS_T,SI	6565 	6523 	7005 	7988 	7202 	9020 	9551 	9762 	9925 	11354 	10215 	11733 	11286 	11693 	11457 
A,TOTAL,GT01,THS_T,SK	17977 	15635 	18015 	15754 	17862 	13408 	16802 	18441 	19250 	14833 	20322 	31639 	24873 	20056 	23132 
A,TOTAL,GT01,THS_T,UK	112013 	106700 	111954 	105977 	114012 	100596 	107406 	99372 	95215 	98657 	113406 	93277 	: 	: 	: 
A,TOTAL,GT02,THS_T,AT	648 	880 	786 	836 	839 	919 	826 	880 	980 	701 	697 	1047 	783 	737 	525 
A,TOTAL,GT02,THS_T,BE	1923 	767 	695 	481 	931 	632 	685 	349 	525 	517 	687 	726 	21 	267 	453 
A,TOTAL,GT02,THS_T,BG	2314 	1026 	1600 	1277 	2104 	4244 	1741 	1996 	1056 	1222 	2777 	863 	422 	913 	1443 
A,TOTAL,GT02,THS_T,CH	351 	206 	114 	464 	220 	129 	111 	63 	1182 	115 	77 	107 	510 	297 	65 
A,TOTAL,GT02,THS_T,CZ	4381 	5194 	5965 	5631 	5324 	5573 	4615 	3160 	4474 	6177 	5875 	4832 	3579 	3237 	3496 
A,TOTAL,GT02,THS_T,DE	23088 	17510 	6266 	5328 	5509 	7321 	6990 	8136 	7287 	9327 	6887 	7299 	4420 	7504 	6831 
A,TOTAL,GT02,THS_T,DK	373 	169 	726 	269 	792 	291 	571 	271 	484 	136 	252 	161 	3 	200 	113 
A,TOTAL,GT02,THS_T,EE	113 	594 	715 	62 	1540 	260 	82 	16 	551 	313 	444 	314 	417 	174 	146 
A,TOTAL,GT02,THS_T,EL	22160 	25206 	56833 	83760 	63200 	82829 	22263 	57516 	14203 	26794 	40451 	25954 	12756 	4578 	24405 
A,TOTAL,GT02,THS_T,ES	24057 	18113 	14067 	21721 	15046 	12001 	11886 	13967 	9977 	12493 	7248 	4096 	3234 	3536 	1818 
A,TOTAL,GT02,THS_T,EU27_2020	133967 	126138 	148324 	168510 	156946 	169741 	95596 	140736 	102604 	113708 	124320 	108081 	77359 	84573 	90950 
A,TOTAL,GT02,THS_T,FI	923 	1853 	539 	561 	1240 	633 	72 	2093 	6479 	69 	1718 	1535 	1458 	2590 	1799 
